depth,vp,vs
-5.0,5.5,3.18
0.0,5.5,3.18
5.4,5.5,3.18
5.5,6.3,3.64
10.0,6.3,3.64
15.9,6.3,3.64
16.0,6.7,3.87
25.0,6.7,3.87
31.9,6.7,3.87
32.0,7.8,4.51
35.0,7.8,4.51
50.0,7.8,4.51
